id,ticker,event_date,original,true_label,future_return_1d,abnormal_score,senti_label,emo_label,technical_analysis_baseline_prediction,technical_analysis_baseline_confidence,classical_price_only_prediction,classical_price_only_confidence,classical_text_only_prediction,classical_text_only_confidence,classical_text_price_prediction,classical_text_price_confidence,deep_text_only_prediction,deep_text_only_confidence,deep_text_price_prediction,deep_text_price_confidence
100115,BA,2020-01-10,"$BA about to explode 🚨
Keep shorting please",neutral,0.0009092873297715,0.0558567119604311,bullish,anxiety,neutral,1.0,negative,0.4210048651279225,positive,0.3889181580316965,positive,0.3972364103035471,neutral,0.34159166,neutral,0.44209373
109008,BABA,2020-01-10,$BABA Trading at 75 dollars discount at least 💵 💵 💵,positive,0.0297099598340391,2.61697779051778,bullish,belief,positive,1.0,positive,0.3873291906009086,negative,0.4432131180214477,neutral,0.4102285007980035,positive,0.35163838,neutral,0.379603
109010,BABA,2020-01-10,$BABA hold your shares ! Next week Chinese delegation in US for treaty signing 🚀💸💸💸💸💸💸💸💸🚀🚀🚀🚀,positive,0.0297099598340391,2.61697779051778,bullish,excitement,positive,1.0,positive,0.3873291906009086,neutral,0.4302033165588896,neutral,0.4097711750331789,positive,0.34368977,negative,0.36288416
109012,TSLA,2020-01-13,$TSLA when do i buy?? Waaaaaa 😭😭,positive,0.0248828221202008,1.0183238288692724,bullish,panic,positive,1.0,positive,0.4240853163044776,neutral,0.4371565697937589,positive,0.6784569704280107,positive,0.35069266,positive,0.72443026
109014,AAPL,2020-01-14,$AAPL who bought the dip today 🙋‍♂️,neutral,-0.004285544799338,-0.4297071520437159,bullish,optimism,positive,1.0,positive,0.4062534991041663,positive,0.4124524739616126,positive,0.4896037128417347,neutral,0.3398311,positive,0.46924058
109013,TSLA,2020-01-14,"$TSLA Realistically I think ER COULD go either way.. I’m thinking of a straddle mostly bearish though because revenue could be abit low.. however straddles will print. 

Looking forward to our 570 victory tomorrow! See you at the top bulls!📈🚀👀",negative,-0.0361020135130578,-1.180822079437546,bullish,excitement,positive,1.0,positive,0.4119337176381847,negative,0.5691112615657269,negative,0.6801190330252758,positive,0.34482038,negative,0.5335084
109015,AAPL,2020-01-15,$AAPL someone’s either selling the pops and unloading a huge position last couple days or a whale short is hammering the price action 🤔,positive,0.0125267377693083,1.1448513667209124,bearish,confusion,positive,1.0,positive,0.4096306211999523,neutral,0.4884094540619954,neutral,0.4018806936861366,positive,0.3410115,neutral,0.3846417
109016,AAPL,2020-01-15,$AAPL Liu clearly stated a lot of IFS in his speech. China will buy 50 billion in ag IF China will buy this and that only IF 😆😄🤣,positive,0.0125267377693083,1.1448513667209124,bearish,amusement,positive,1.0,positive,0.4096306211999523,positive,0.4408362278561351,positive,0.6283981749009937,positive,0.37833214,positive,0.43435034
100175,SBUX,2020-01-15,"$SBUX TPO alot of volume at 91.74, thats after a strong run up...🤔",positive,0.0113608950780441,1.4510840579000954,bearish,confusion,positive,1.0,positive,0.3961329147984951,positive,0.5360072483002323,positive,0.6589059137752571,positive,0.3437333,neutral,0.4687185
109017,MSFT,2020-01-16,$MSFT  load up and hold give it 2 months 180$ is your target 🎯,neutral,0.0055968838913007,0.6279840339290187,bullish,anxiety,positive,1.0,positive,0.3822554050554437,neutral,0.3824531391668679,positive,0.4275620830323542,neutral,0.3356906,negative,0.36039972
109018,TSLA,2020-01-16,$TSLA you may have a gambling problem if you’re buying here. 🤷‍♂️ do as you wish,neutral,-0.0058228941569139,-0.1888399017096316,bearish,anger,positive,1.0,positive,0.3749766517161659,neutral,0.3559949981526323,positive,0.4419726899265964,positive,0.36159655,positive,0.7674452
109019,TSLA,2020-01-16,"$TSLA who called the top here ? When everybody thought was crazy. Me moFos, me ! 🧙‍♂️",neutral,-0.0058228941569139,-0.1888399017096316,bearish,depression,positive,1.0,positive,0.3749766517161659,negative,0.5040239242319966,negative,0.4548929378901054,positive,0.34085178,positive,0.6218835
109022,BA,2020-01-17,"$BA alright, here comes the real grand finale! 🔪 #ThereWillBeBlood",negative,-0.033256226367741,-2.4826136489298856,bearish,optimism,neutral,1.0,negative,0.35600995693353,neutral,0.4411000487566909,neutral,0.420911895780391,negative,0.33930814,neutral,0.43753868
109020,TSLA,2020-01-17,$TSLA anyone believes it’ll hit 496$ today ??🤚🏼,positive,0.0718903061927893,2.3219752235222364,bearish,ambiguous,positive,1.0,positive,0.4169347675138001,positive,0.4856190356085905,positive,0.6274041009685083,positive,0.3545671,positive,0.60038793
109021,TSLA,2020-01-17,$TSLA get ready to make an appointment to get in line for your appointment to fix issues Tesla owners 😳,positive,0.0718903061927893,2.3219752235222364,bearish,anxiety,positive,1.0,positive,0.4169347675138001,negative,0.4308861403934345,negative,0.4390954893189808,positive,0.34415603,positive,0.51913524
100234,TSLA,2020-01-21,$TSLA down 6$ afterhours right now 🤔,positive,0.0408626444406172,1.3232812566780583,bearish,confusion,positive,1.0,positive,0.3915499701433935,neutral,0.4281481717545762,positive,0.4513159106072526,negative,0.3381788,positive,0.49242643
100268,BA,2020-01-22,$BA can someone tell me why they haven’t downgraded this garbage 🗑 yet $265,positive,0.0284465853705546,1.8066436531642096,bearish,confusion,negative,1.0,negative,0.6783548854755733,neutral,0.4822967569653251,positive,0.4747000787913549,neutral,0.3418442,positive,0.7002683
109027,MSFT,2020-01-22,$MSFT Was about to jump in earlier at 166.66 for a quick day trade but was occupied by a meeting at work.  (first time I’m thankful for a meeting being in the way of my day trading) 👍🏽,neutral,0.0061554761877391,0.6568171606796507,bearish,belief,positive,1.0,positive,0.4010686090961943,negative,0.4805484176564068,positive,0.4919952586715578,positive,0.35641968,positive,0.41827825
109024,NFLX,2020-01-22,$NFLX good morning 🌞 everyone. Happy trading,positive,0.0723926601476685,4.70532973756506,bearish,anxiety,neutral,1.0,negative,0.4237388014780539,negative,0.5462200155053947,negative,0.6655718318764531,negative,0.34054217,positive,0.36788356
109023,TSLA,2020-01-22,$TSLA tweet from Ross Gerber. Cool 😎 one🍷🍀🚀🤗,neutral,0.004635122144013,0.138696121404711,bullish,amusement,positive,1.0,positive,0.4032034207375884,neutral,0.4875082695381442,positive,0.457807199649806,neutral,0.3372019,neutral,0.46243745
109025,TSLA,2020-01-22,"$TSLA Yup, she’s flying straight up... no more warnings of production hell, no more pedo guy distractions, no more blunts...  obvious short...  🤪",neutral,0.004635122144013,0.138696121404711,bullish,disgust,positive,1.0,positive,0.4032034207375884,neutral,0.449359714990597,neutral,0.4676529901012549,neutral,0.34078223,neutral,0.53846586
109026,TSLA,2020-01-22,$TSLA thank you shorts for every single penny 🙏♥️💋,neutral,0.004635122144013,0.138696121404711,bullish,amusement,positive,1.0,positive,0.4032034207375884,neutral,0.5391688278370116,neutral,0.4933077318207455,negative,0.33869204,neutral,0.5213554
109028,BABA,2020-01-23,$BABA maybe this week down next week up? 🤔,negative,-0.0245516548170524,-1.6526172330246574,bullish,confusion,neutral,1.0,positive,0.3777972009401426,positive,0.3804062892734779,positive,0.4088324243844097,neutral,0.33974355,neutral,0.4047408
109029,TSLA,2020-01-23,$TSLA After ER then battery date in Mar/Apr will send this to 700💪❤️,neutral,-0.0128976031808254,-0.3821990253125644,bullish,optimism,positive,1.0,positive,0.3727225481413105,neutral,0.4251393888921,positive,0.4477751819173818,negative,0.34296376,negative,0.40525684
109030,TSLA,2020-01-24,$TSLA looks like a good day 😏,neutral,-0.0120392728355797,-0.3578175486992638,bullish,disgust,positive,1.0,negative,0.388569998113026,neutral,0.5266075688761629,neutral,0.4138742304705757,neutral,0.34026486,positive,0.4435218
100317,AAPL,2020-01-27,$AAPL 🤡👉 we are in a 👉GLOBAL RECESSION👈,positive,0.0282891923099679,2.588775340903921,bearish,anxiety,positive,1.0,positive,0.433742783815609,neutral,0.4334326725248218,negative,0.3551760549678397,neutral,0.33998412,neutral,0.3812917
109031,AAPL,2020-01-27,$AAPL wonder where my march 20 puts will be trading tomorrow🎁,positive,0.0282891923099679,2.588775340903921,bearish,optimism,positive,1.0,positive,0.433742783815609,neutral,0.4312114480579219,positive,0.4724469555655944,neutral,0.3362929,positive,0.37615892
100321,FB,2020-01-27,$FB fb 🚑 may be in trouble get out while you can 📸,positive,0.0135895936833345,1.2623205588323445,bearish,anxiety,neutral,1.0,negative,0.3874637877691097,neutral,0.6415055091007249,neutral,0.5412645707560931,neutral,0.34406078,neutral,0.49287012
109033,AAPL,2020-01-28,$AAPL I’m so happy I stuck with my calls 😁 huge beat!!,positive,0.0209323509805494,1.6173189935107637,bullish,excitement,neutral,1.0,negative,0.4138461733485646,negative,0.3917141069339204,negative,0.494210698466813,neutral,0.34093052,negative,0.38186654
109034,AAPL,2020-01-28,$AAPL don’t trade apple own apple. U will win long term. ✌🏽,positive,0.0209323509805494,1.6173189935107637,bullish,amusement,neutral,1.0,negative,0.4138461733485646,neutral,0.5463591112061145,negative,0.4227978209091088,neutral,0.33757788,neutral,0.36924627
109035,BA,2020-01-28,$BA I appreciated the cheap puts td for earnings 🙏🏻,positive,0.0172478082393308,1.0523264590375452,bearish,optimism,neutral,1.0,negative,0.4566589958866131,negative,0.5378495364622292,negative,0.6408681393659204,neutral,0.34255832,neutral,0.5282745
109032,SBUX,2020-01-28,$SBUX Full year guidance unchanged but China will materially impact earnings next quarter and for the year 🤔,negative,-0.0212188820995972,-1.6143681131493055,bearish,confusion,neutral,1.0,positive,0.4460883277095789,positive,0.4686722299668142,positive,0.6868721420120375,positive,0.360651,positive,0.5171113
109036,AAPL,2020-01-29,$AAPL only question is do we dip and rip or gap up and fade 🤔,neutral,-0.0014490798743258,-0.1030838720350339,bullish,confusion,neutral,1.0,positive,0.4441149307156976,neutral,0.5294524805139975,neutral,0.3896569491654238,neutral,0.34141612,neutral,0.45235115
109039,AAPL,2020-01-29,$AAPL awaiting patiently for new hod at $327.26 😂,neutral,-0.0014490798743258,-0.1030838720350339,bullish,ambiguous,neutral,1.0,positive,0.4441149307156976,neutral,0.4020608002369317,negative,0.3836309713604692,positive,0.34599426,neutral,0.42440033
109037,BA,2020-01-29,"$BA looks like lots of upgrade after worst ER, PT might increase to $5000 and BA will rise 50% today.
😂😂😂😂😂",neutral,0.0039749117716398,0.2426017904137143,bearish,ambiguous,neutral,1.0,negative,0.442082763781468,neutral,0.4846924864952214,neutral,0.3658801311520689,positive,0.34710717,neutral,0.58797044
109038,BA,2020-01-29,$BA next few days I expect a drop... but who tf knows these days 😂,neutral,0.0039749117716398,0.2426017904137143,bearish,optimism,neutral,1.0,negative,0.442082763781468,positive,0.3752869975526315,negative,0.4753860655641967,positive,0.34172964,neutral,0.5066629
109042,FB,2020-01-29,$FB more expenses for more profit later on 💰💰💰,negative,-0.0613716534587153,-5.35562941383713,bullish,optimism,neutral,1.0,positive,0.3947670728687211,positive,0.4564100401026907,positive,0.5600100418593089,neutral,0.34489772,neutral,0.47591126
109040,TSLA,2020-01-29,$TSLA not even excited....dont know why🥱 Bring me ER results,positive,0.1029622586653555,2.9740081551206745,bullish,anger,positive,1.0,positive,0.3728727616390658,negative,0.4117390520511623,negative,0.3998239085075945,neutral,0.34033412,positive,0.5132692
109041,TSLA,2020-01-29,$TSLA Imagine Elon says something magical? 🥺🥺🥺🥺,positive,0.1029622586653555,2.9740081551206745,bullish,anxiety,positive,1.0,positive,0.3728727616390658,negative,0.617787360588377,negative,0.4812155878645482,positive,0.34656814,positive,0.5967479
100412,AMZN,2020-01-30,$AMZN $2500 To Da Moon SOON! WOW! 🤙💥🚀🚀🚀,positive,0.0737913558648475,6.493243677082033,bullish,surprise,neutral,1.0,negative,0.3823639247009537,neutral,0.4062185861585723,positive,0.440007561230158,neutral,0.3440189,positive,0.71729505
109049,AMZN,2020-01-30,$AMZN  sold all my shares at 2052. Maybe too early but I wanted to lock profit 😈,positive,0.0737913558648475,6.493243677082033,bullish,belief,neutral,1.0,negative,0.3823639247009537,negative,0.4432836793403231,negative,0.3764596634685958,positive,0.34750175,positive,0.5947961
109050,AMZN,2020-01-30,$AMZN Our members celebrating from our 2/21 $2000C alert 🥳🥳,positive,0.0737913558648475,6.493243677082033,bullish,amusement,neutral,1.0,negative,0.3823639247009537,negative,0.4342534098978897,negative,0.4509920067014102,neutral,0.33644572,positive,0.5581181
109043,MSFT,2020-01-30,$MSFT Best day in at least 2 years for Microsoft🍾🎈🎊!,negative,-0.0147585790021212,-1.2892121254871842,bullish,surprise,positive,1.0,positive,0.4364266612749541,negative,0.5964163773197206,negative,0.5760971424333249,neutral,0.33716685,negative,0.39261562
109044,TSLA,2020-01-30,"$TSLA  Bears, honestly, does this stock price make me look fat???  😂",neutral,0.0152306904735053,0.4681829461245744,bullish,disgust,neutral,1.0,positive,0.415028187301719,positive,0.5016878907834096,positive,0.7187889805374873,positive,0.36491156,positive,0.54081106
109045,TSLA,2020-01-30,$TSLA Chupan mis huevos osos inútiles ahaha🤠,neutral,0.0152306904735053,0.4681829461245744,bullish,amusement,neutral,1.0,positive,0.415028187301719,neutral,0.4298946924008391,positive,0.4585388275525435,neutral,0.34038663,positive,0.5280061
109047,TSLA,2020-01-30,$TSLA we blowing up boys! Let’s get this BAG 💰💰,neutral,0.0152306904735053,0.4681829461245744,bullish,excitement,neutral,1.0,positive,0.415028187301719,negative,0.4031402414232412,negative,0.4365294728627725,neutral,0.33972844,positive,0.61077654
109046,V,2020-01-30,$V Quick! Too much good news! Mention the corona virus! 🤢🐻,negative,-0.0443783197961811,-4.540014861488085,bullish,anxiety,neutral,1.0,positive,0.4025950863763421,negative,0.4541472013075901,positive,0.4135227998379084,neutral,0.3392427,positive,0.3543587
109052,AAPL,2020-01-31,$AAPL Good morning Bulls. How ya feeling this morning knowing y’all got trapped?!?!? 😂🐻,neutral,-0.0027460337882215,-0.1881879220852561,bearish,ambiguous,positive,1.0,positive,0.3647256844202983,neutral,0.4944209679218443,neutral,0.4617246632773008,neutral,0.34051603,positive,0.42692673
109057,AAPL,2020-01-31,$AAPL absolutely beautiful sell day. Bull tears are sweet ❤️,neutral,-0.0027460337882215,-0.1881879220852561,bearish,optimism,positive,1.0,positive,0.3647256844202983,positive,0.3916909559692919,positive,0.4299854431867792,neutral,0.3383099,positive,0.3970472
109053,AMZN,2020-01-31,$AMZN many analysts raised the target price to at least $2400!!!🚀🚀✈️✈️,neutral,-0.0022501685803328,-0.1964177651489307,bullish,surprise,neutral,1.0,positive,0.4560249661946752,positive,0.4738244125565341,positive,0.6459108466766446,positive,0.3543509,positive,0.5614767
109055,MCD,2020-01-31,$MCD Are they not going to update the market on their China store closure situation? 🤐🤐🤐😷😷😷 #mcdonalds #coronavirus,neutral,0.0056549531314258,0.6604517379725483,bearish,panic,positive,1.0,positive,0.393784636830806,neutral,0.3768683638752736,neutral,0.4213794114170799,positive,0.36126667,positive,0.34335285
109054,MSFT,2020-01-31,$MSFT this drops less than 2% about 2.5$ and literally ALL of the option calls are keeping their price ranges. What does that tell you.? 😏😏👆🏼👆🏼👆🏼,positive,0.0243789017920683,1.9188242115101453,bullish,confusion,positive,1.0,positive,0.4481090346250808,positive,0.3708105654666203,positive,0.5329942936646569,positive,0.3576272,neutral,0.41740486
109051,TSLA,2020-01-31,"$TSLA hi bears, how many of u got margin call? Don't lie and don't be shy 😂",positive,0.198948593763949,5.28806936754828,bullish,excitement,positive,1.0,positive,0.4229039559921039,neutral,0.5304755395599524,neutral,0.4708062127084288,neutral,0.341052,neutral,0.5359266
109056,TSLA,2020-01-31,$TSLA must be that song from Elon🙄,positive,0.198948593763949,5.28806936754828,bullish,belief,positive,1.0,positive,0.4229039559921039,positive,0.5126687666492277,positive,0.6515627272764453,neutral,0.3400947,neutral,0.45676336
109058,AAPL,2020-02-03,$AAPL  guys btfd on monday!!! So i can load up puts 🤣🤣🤣🤣🤣,positive,0.0330138920620219,1.8673965622512871,bearish,ambiguous,neutral,1.0,negative,0.4559310423654914,positive,0.457969171393187,positive,0.542112322398653,neutral,0.3383308,negative,0.39659813
109059,AMZN,2020-02-03,$AMZN currently in the green with calls but im holding cause I got too much time left 🤷🏽‍♂️🤩 This week should be interesting 🧐,positive,0.0226873421407756,1.1794832754453473,bullish,confusion,positive,1.0,neutral,0.4412287717102058,positive,0.4216288596063073,positive,0.4749578768187488,negative,0.33934894,neutral,0.4667405
109061,DIS,2020-02-04,$DIS she’s been on track for a few days now! This is exciting af to be frank 🤑,negative,-0.0232155653396517,-1.9215559661839716,bullish,optimism,neutral,1.0,negative,0.4450222379433674,negative,0.434338210938787,negative,0.5414805817197256,negative,0.33892998,negative,0.47396263
109060,TSLA,2020-02-04,"$TSLA 😂😂😂 premarket 812$ lmfaooooo why couldn’t you hold, yea buy puts why not Ill buy puts once it reaches 1000+",negative,-0.1717583947927872,-3.139467291083182,bullish,amusement,positive,1.0,neutral,0.4402087846130658,positive,0.3517867958640166,neutral,0.4768369395612553,neutral,0.34269,negative,0.96541935
109068,DIS,2020-02-05,$DIS - remember last ER? this didn’t run but a day after... so hold and/or buy the dips. 💆🏻‍♂️,neutral,0.0094080575034687,0.705308265932425,bullish,disgust,positive,1.0,positive,0.4144440064178369,neutral,0.4195850612580651,negative,0.3716948535427779,neutral,0.33841458,neutral,0.38936216
109062,TSLA,2020-02-05,$TSLA behaving like a slow-rising penny stock with the exception that all options are printing like the U.S. Mint 🍬 🖨️💸💸💸💸🍗,neutral,0.0194093169425442,0.3254907071007596,bullish,excitement,positive,1.0,neutral,0.3828868985719507,negative,0.4394262065010443,negative,0.4976852513817122,positive,0.3611055,neutral,0.5625588
109063,TSLA,2020-02-05,"$TSLA 🤣low volumes it is already recovering, was also a red day on Monday in Frankfurt hahaha",neutral,0.0194093169425442,0.3254907071007596,bullish,disgust,positive,1.0,neutral,0.3828868985719507,negative,0.4524098715039805,negative,0.4470880716334303,neutral,0.3425101,neutral,0.53628194
109064,TSLA,2020-02-05,$TSLA Shorts get a reaming again today. 😂🖕🏼,neutral,0.0194093169425442,0.3254907071007596,bullish,excitement,positive,1.0,neutral,0.3828868985719507,positive,0.4011006793795652,neutral,0.3815898719420399,neutral,0.33946952,negative,0.61760455
109065,TSLA,2020-02-05,$TSLA Elon + arc investment looking at shorts futile efforts 😂,neutral,0.0194093169425442,0.3254907071007596,bullish,disgust,positive,1.0,neutral,0.3828868985719507,negative,0.4510395179402784,negative,0.453214052327964,positive,0.3373601,negative,0.5964161
109066,TSLA,2020-02-05,$TSLA shorts are not having much luck 🤣😂,neutral,0.0194093169425442,0.3254907071007596,bullish,ambiguous,positive,1.0,neutral,0.3828868985719507,positive,0.4751748640066532,positive,0.3821957385991104,neutral,0.3397884,negative,0.5793333
109067,TSLA,2020-02-05,$TSLA if you can't handle the fire 🔥🔥🔥 get out of the kitchen! Buying opportunity coming,neutral,0.0194093169425442,0.3254907071007596,bullish,excitement,positive,1.0,neutral,0.3828868985719507,neutral,0.6299465191058646,neutral,0.6922933064886763,neutral,0.34204894,negative,0.5863031
109069,TSLA,2020-02-05,$TSLA imagine being the bull over 780 looking at it now and still not selling after tomorrow opens down another $130 ...😷,neutral,0.0194093169425442,0.3254907071007596,bearish,disgust,positive,1.0,neutral,0.3828868985719507,negative,0.6152707249486336,negative,0.6102585089597677,positive,0.35118604,neutral,0.61117643
109070,TSLA,2020-02-05,$TSLA all the way down to 145👻👻👻,neutral,0.0194093169425442,0.3254907071007596,bearish,panic,positive,1.0,neutral,0.3828868985719507,neutral,0.4320992682846539,neutral,0.4371702449063366,neutral,0.3406938,negative,0.60035115
109071,TSLA,2020-02-05,"$TSLA another gap down tomorrow $600 , let it drop 😁👎",neutral,0.0194093169425442,0.3254907071007596,bearish,disgust,positive,1.0,neutral,0.3828868985719507,neutral,0.3712655162936746,neutral,0.4587153982827652,neutral,0.33875805,negative,0.67630607
109072,TSLA,2020-02-05,Limit order kicked in and I shorted another small odd lot of $TSLA stock. Nice to have some cash again — we'll see how long *that* lasts. ☺,neutral,0.0194093169425442,0.3254907071007596,bearish,optimism,positive,1.0,neutral,0.3828868985719507,neutral,0.424780820679181,neutral,0.4594820479343681,positive,0.34328216,negative,0.65814996
109077,BA,2020-02-06,$BA BEST stock of the year so far! 🚀🚀🚀,negative,-0.0137070351967085,-0.7503231076579951,bullish,belief,neutral,1.0,negative,0.3484830108669103,positive,0.4449266078731669,positive,0.4440684329261592,positive,0.34496894,neutral,0.45319375
109074,TSLA,2020-02-06,$TSLA would love to see another 20% down day🤯,neutral,-0.001188323805631,-0.0157282136167789,bearish,anger,neutral,1.0,neutral,0.4998669106785951,neutral,0.3755374683909239,neutral,0.5285815563573649,neutral,0.3399185,neutral,0.9874922
109075,TSLA,2020-02-06,$TSLA  Even when factory reopens who will be buying Lyxury EV with 40K in the middle of health crisis. 🙂,neutral,-0.001188323805631,-0.0157282136167789,bearish,disgust,neutral,1.0,neutral,0.4998669106785951,negative,0.5653311807637358,negative,0.6241423901689338,positive,0.3492993,neutral,0.98697996
109076,TSLA,2020-02-06,$TSLA pump and dump - the electro version 😜 huge sell off coming....,neutral,-0.001188323805631,-0.0157282136167789,bearish,excitement,neutral,1.0,neutral,0.4998669106785951,neutral,0.400542156723488,neutral,0.5987166804170593,neutral,0.3362851,neutral,0.9681943
109078,TSLA,2020-02-06,$TSLA get that money out before it’s too late 🤕,neutral,-0.001188323805631,-0.0157282136167789,bearish,anxiety,neutral,1.0,neutral,0.4998669106785951,positive,0.4529783904574779,negative,0.4987050983459692,neutral,0.34306815,neutral,0.9929488
109079,TSLA,2020-02-07,$TSLA I’m thinking high $500s- low $600s and then back to the moon 🌝 again 💎💰💰💰,neutral,0.0310264963298576,0.4117514201057748,bullish,excitement,neutral,1.0,neutral,0.419969034181006,neutral,0.622244464768827,neutral,0.7338084070355048,positive,0.34544846,neutral,0.96417725
109080,TSLA,2020-02-07,"$TSLA wake up monday , another huge drop when they hear shanghai factory closed for another month , why risk doubling down on infection . 740 for a single factory lol . Thats what people were paying at 200 -300 for in q 3 🤡☠️🤷‍♂️👎😂",neutral,0.0310264963298576,0.4117514201057748,bearish,ambiguous,neutral,1.0,neutral,0.419969034181006,positive,0.5665631582850947,neutral,0.4140246039376708,positive,0.35244638,neutral,0.93798393
109081,AAPL,2020-02-10,$AAPL Getting closer and closer to where the Gap Down will continue to Gap Down on top of that Gap Down!! 🐻🍎,neutral,-0.0060336681592594,-0.3258721206371788,bearish,anxiety,neutral,1.0,negative,0.3618590296953695,neutral,0.3867703617054071,neutral,0.4610434937195742,neutral,0.3424541,neutral,0.38329038
109082,AAPL,2020-02-10,$AAPL to the 🌙 we ganna steal some bear money,neutral,-0.0060336681592594,-0.3258721206371788,bullish,optimism,neutral,1.0,negative,0.3618590296953695,negative,0.4359310369932374,negative,0.3958215963485966,neutral,0.34205765,positive,0.5223218
109083,AAPL,2020-02-10,$AAPL Bears think every company will crash and burn. 😂😂😂,neutral,-0.0060336681592594,-0.3258721206371788,bullish,disgust,neutral,1.0,negative,0.3618590296953695,neutral,0.5048767856467591,neutral,0.5328224082837794,positive,0.35252416,positive,0.44684607
109084,MSFT,2020-02-10,$MSFT I finally doubled down two weeks ago when I realized having this stock no longer feels like watching paint dry!😂😂😂😂😂,negative,-0.0225755014610978,-1.5549474154961898,bullish,disgust,positive,1.0,positive,0.358389223353056,negative,0.5637559506035884,negative,0.5330026787859427,positive,0.34188744,negative,0.3594691
109086,AMZN,2020-02-11,$AMZN hope y’all bought the dip😎,neutral,0.0042774695978846,0.2183255438015705,bullish,optimism,positive,1.0,neutral,0.341451450665978,positive,0.4150252254703657,positive,0.4079851023475329,negative,0.34014294,neutral,0.35282114
109085,TSLA,2020-02-11,$TSLA nothing like the smell of Musk in the morning. 😎👍,neutral,-0.0091556579336954,-0.1229501141431473,bullish,optimism,neutral,1.0,neutral,0.5807241633507073,negative,0.6521430809702805,neutral,0.4673652662802173,neutral,0.3407356,neutral,0.89220524
109087,DIS,2020-02-12,$DIS a green to red move here is bad news. Also expected 📉,neutral,-0.0066970801360783,-0.4436097683181818,bearish,panic,neutral,1.0,negative,0.3950091906904074,negative,0.4168977330797448,negative,0.4475432846773665,negative,0.33960107,neutral,0.38457802
109088,TSLA,2020-02-12,"$TSLA  breaking 750 is the gate to 650 by Friday. Let’s go short term bears 💪. 
Don’t really care long term what happens.",neutral,0.04784365255178,0.658112958492379,bearish,belief,neutral,1.0,neutral,0.6134217088464987,positive,0.4091683311283471,neutral,0.5966022996724986,positive,0.34691596,neutral,0.96665424
